hit_id	length	cysteine_content	e_value	query_accession	query_name
GIFC01P.1_id_MXU99808.1	503	0.01	3.4e-79	PF02477.18	Nairo_nucleo
GCA_013339745.2_BIME_Dsil_1.4_id_KAH7946076.1	299	0.02	1e-13	PF02477.18	Nairo_nucleo
GBXQ01.1_id_GBXQ01020917.1.p1	553	0.01	3.6e-17	PF02477.18	Nairo_nucleo
GIFC01P.1_id_MXU99492.1	449	0.01	1.3e-14	PF02477.18	Nairo_nucleo
Trove_Mulenga_NCBI_Ambl-Am_AA_id_NCBI_AA_8119	547	0.01	3.5e-11	PF02477.18	Nairo_nucleo
Trove_Mulenga_NCBI_Ambl-Am_AA_id_NCBI_AA_8111	547	0.01	3.8e-11	PF02477.18	Nairo_nucleo
GCA_000208615.1_JCVI_ISG_i3_1.0_id_EEC17452.1	547	0.01	1.2e-05	PF02477.18	Nairo_nucleo
GCA_013358835.2_BIME_Iper_1.3_id_KAG0436374.1	242	0.02	1.4e-07	PF02477.18	Nairo_nucleo
GCA_000208615.1_JCVI_ISG_i3_1.0_id_EEC07015.1	232	0.02	0.49	PF05733.14	Tenui_N
GCA_013358835.2_BIME_Iper_1.3_id_KAG0441188.1	167	0.02	0.00017	PF02477.18	Nairo_nucleo
GCA_013339695.2_BIME_Rsan_1.4_id_KAH7956031.1	162	0.02	0.0085	PF02477.18	Nairo_nucleo
GCA_013339695.2_BIME_Rsan_1.4_id_KAH7947626.1	622	0.03	2.1e-46	PF00945.21	Rhabdo_ncap
GCA_013358835.2_BIME_Iper_1.3_id_KAG0426363.1	475	0.01	7.8e-73	PF00945.21	Rhabdo_ncap
GEGO01P.1_id_JAR89749.1	353	0.01	1.7e-69	PF00945.21	Rhabdo_ncap
GCA_013339765.2_BIME_HaeL_1.3_id_KAH9382085.1	465	0.03	2.3e-65	PF00945.21	Rhabdo_ncap
GCA_013339745.2_BIME_Dsil_1.4_id_KAH7937943.1	496	0.02	1e-64	PF00945.21	Rhabdo_ncap
GCA_013339685.2_BIME_Hyas_1.3_id_KAH6929054.1	435	0.03	8.6e-65	PF00945.21	Rhabdo_ncap
GCA_013358835.2_BIME_Iper_1.3_id_KAG0427517.1	631	0.01	4.4e-64	PF00945.21	Rhabdo_ncap
GCA_013339685.2_BIME_Hyas_1.3_id_KAH6929055.1	450	0.03	8.4e-64	PF00945.21	Rhabdo_ncap
GCA_013339725.1_BIME_Rmic_1.3_id_KAH8022039.1	435	0.03	8.6e-62	PF00945.21	Rhabdo_ncap
GCA_013339745.2_BIME_Dsil_1.4_id_KAH7937942.1	452	0.03	1.8e-56	PF00945.21	Rhabdo_ncap
All_sequences_Mulenga2020_id_Aam-166817	451	0.03	1.6e-56	PF00945.21	Rhabdo_ncap
Trove_Mulenga_NCBI_Ambl-Am_AA_id_Mulenga_AA_3820	451	0.03	1.6e-56	PF00945.21	Rhabdo_ncap
Trove_Mulenga_NCBI_Ambl-Am_AA_id_Trove_AA_41512	481	0.04	3.3e-56	PF00945.21	Rhabdo_ncap
GBXQ01.1_id_GBXQ01013119.1.p1	276	0.01	3.9e-55	PF00945.21	Rhabdo_ncap
GCA_013339765.2_BIME_HaeL_1.3_id_KAH9382096.1	491	0.03	4.7e-46	PF00945.21	Rhabdo_ncap
GCA_000208615.1_JCVI_ISG_i3_1.0_id_EEC08657.1	262	0.01	9.3e-50	PF00945.21	Rhabdo_ncap
GJDI01.1_id_MCL6779116.1	447	0.03	2.2e-48	PF00945.21	Rhabdo_ncap
GCA_000208615.1_JCVI_ISG_i3_1.0_id_EEC13229.1	262	0.01	4.3e-47	PF00945.21	Rhabdo_ncap
GCA_000208615.1_JCVI_ISG_i3_1.0_id_EEC02889.1	240	0.00	3.8e-45	PF00945.21	Rhabdo_ncap
GCA_013358835.2_BIME_Iper_1.3_id_KAG0420414.1	279	0.01	3.9e-41	PF00945.21	Rhabdo_ncap
Trove_Mulenga_NCBI_Ambl-Am_AA_id_NCBI_AA_5893	479	0.00	6.3e-38	PF00945.21	Rhabdo_ncap
Trove_Mulenga_NCBI_Ambl-Am_AA_id_NCBI_AA_5606	470	0.01	5.1e-35	PF00945.21	Rhabdo_ncap
Trove_Mulenga_NCBI_Ambl-Am_AA_id_NCBI_AA_5764	470	0.01	5.1e-35	PF00945.21	Rhabdo_ncap
GCA_013339745.2_BIME_Dsil_1.4_id_KAH7959115.1	470	0.01	5.1e-31	PF00945.21	Rhabdo_ncap
GCA_013339685.2_BIME_Hyas_1.3_id_KAH6921377.1	470	0.01	7.1e-29	PF00945.21	Rhabdo_ncap
GBXQ01.1_id_GBXQ01012852.1.p1	154	0.01	3.6e-26	PF00945.21	Rhabdo_ncap
GCA_000208615.1_JCVI_ISG_i3_1.0_id_EEC16192.1	237	0.01	2.3e-25	PF00945.21	Rhabdo_ncap
GCA_013339695.2_BIME_Rsan_1.4_id_KAH7956517.1	244	0.02	2.3e-23	PF00945.21	Rhabdo_ncap
GCA_000208615.1_JCVI_ISG_i3_1.0_id_EEC07646.1	103	0.01	2.3e-22	PF00945.21	Rhabdo_ncap
