hit_id	length	cysteine_content	e_value	query_accession	query_name
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01001930.1.p2	340	0.04	0.015	-	VOG00029
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01030009.1.p1	2799	0.02	5.8	-	VOG19620
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01001704.1.p1	2890	0.02	1.2e-81	-	VOG00037
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01016007.1.p1	2743	0.02	5.5e-57	-	VOG00037
Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01001301.1.p1	1004	0.03	4.1e-78	-	VOG00037
Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01002005.1.p1	388	0.02	1.2e-67	-	VOG00037
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01030010.1.p1	547	0.02	2e-43	-	VOG00037
Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01010096.1.p1	101	0.00	2e-36	-	VOG00037
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01009270.1.p1	217	0.01	3.5e-35	-	VOG00037
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01042458.1.p1	143	0.01	4.4e-26	-	VOG00037
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01030301.1.p1	1712	0.02	1e-15	-	VOG00037
Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01009334.1.p1	199	0.02	0.59	-	VOG05249
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01041678.1.p1	103	0.02	8.5e-17	-	VOG00037
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01035881.1.p1	145	0.02	3.1e-15	-	VOG00037
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01045873.1.p1	102	0.03	1.9e-07	-	VOG00037
Hemachatus_haemachatus_GIJC01.transdecoder.pep_id_GIJC01000300.1.p1	379	0.01	0.032	-	VOG00037
Naja_nigricollis_GIJF01.transdecoder.pep_id_GIJF01000152.1.p1	406	0.01	0.031	-	VOG00037
Vipera_aspis_GIJB01.transdecoder.pep_id_GIJB01000115.1.p1	557	0.01	0.056	-	VOG00037
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01062066.1.p1	652	0.02	0.058	-	VOG00037
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01018382.1.p1	806	0.01	0.045	-	VOG00037
Dispholidus_typus_GHOQ01.transdecoder.pep_id_GHOQ01000105.1.p1	603	0.02	0.061	-	VOG00037
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01059677.1.p1	732	0.02	0.068	-	VOG00037
Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01002563.1.p1	802	0.01	0.062	-	VOG00037
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01016520.1.p1	612	0.01	0.071	-	VOG00037
Naja_nubiae_GIJI01.transdecoder.pep_id_GIJI01000021.1.p1	691	0.01	0.075	-	VOG00037
Hadrurus_spadix_GFAH01_id_lcl|GFAH01000609.1_prot_JAV47780.1_1	805	0.02	0.065	-	VOG00037
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01003422.1.p1	802	0.01	0.076	-	VOG00037
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01010607.1.p1	801	0.01	0.076	-	VOG00037
Diadromus_collaris_GAPR01.transdecoder.pep_id_GAPR01028197.1.p1	801	0.01	0.076	-	VOG00037
Scolopocryptops_sexspinosus_GHBZ01.transdecoder.pep_id_GHBZ01000829.1.p1	763	0.02	0.068	-	VOG00037
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01002734.1.p1	801	0.01	0.077	-	VOG00037
Cotesia_vestalis_GAQF01.transdecoder.pep_id_GAQF01015122.1.p1	801	0.02	0.076	-	VOG00037
Pseudagkistrodon_rudis_GDKV01.transdecoder.pep_id_GDKV01035655.1.p1	808	0.01	0.077	-	VOG00037
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01002735.1.p1	803	0.01	0.077	-	VOG00037
Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02002513.1_prot_JAV48954.1_1	807	0.02	0.079	-	VOG00037
Crotalus_horridus_GAAZ01_id_lcl|GAAZ01002500.1_prot_JAA95443.1_1	807	0.02	0.079	-	VOG00037
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01022979.1.p1	802	0.01	0.086	-	VOG00037
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01002736.1.p1	801	0.01	0.085	-	VOG00037
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01002737.1.p1	801	0.01	0.085	-	VOG00037
Nasonia_giraulti_GFOZ01.transdecoder.pep_id_GFOZ01000551.1.p1	802	0.01	0.085	-	VOG00037
Trichomalopsis_sarcophagae_GFPB01.transdecoder.pep_id_GFPB01000513.1.p1	802	0.01	0.085	-	VOG00037
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01002738.1.p1	803	0.01	0.085	-	VOG00037
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01002739.1.p1	803	0.01	0.085	-	VOG00037
Dendroaspis_jamesoni_kaimosae_GHPB01.transdecoder.pep_id_GHPB01000027.1.p1	737	0.02	0.078	-	VOG00037
Hemiscolopendra_marginata_GHBY01.transdecoder.pep_id_GHBY01000366.1.p1	806	0.01	0.071	-	VOG00037
Scolopendra_viridis_GGNE01.transdecoder.pep_id_GGNE01000047.1.p1	806	0.01	0.071	-	VOG00037
Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01031417.1.p1	834	0.02	0.083	-	VOG00037
Dendroaspis_jamesoni_jamesoni_GHPA01.transdecoder.pep_id_GHPA01000055.1.p1	737	0.02	0.081	-	VOG00037
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01028452.1.p1	810	0.01	0.11	-	VOG00037
Agkistrodon_conanti_GJUI01.transdecoder.pep_id_GJUI01000389.1.p1	806	0.01	0.088	-	VOG00037
Agkistrodon_contortrix_GJUG01.transdecoder.pep_id_GJUG01000669.1.p1	806	0.01	0.088	-	VOG00037
Boiga_irregularis_GBSH01_id_lcl|GBSH01002709.1_prot_JAG66318.1_1	806	0.01	0.088	-	VOG00037
Conophis_lineatus_GJFD01.transdecoder.pep_id_GJFD01001087.1.p1	807	0.01	0.089	-	VOG00037
Pseudagkistrodon_rudis_GDKV01.transdecoder.pep_id_GDKV01012147.1.p1	807	0.01	0.089	-	VOG00037
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01054136.1.p1	864	0.02	0.17	-	VOG00037
Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02001656.1_prot_JAV49771.1_1	862	0.02	0.27	-	VOG00037
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01043270.1.p1	692	0.01	0.03	-	VOG00037
Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01009137.1.p1	367	0.03	0.077	-	VOG00037
Cotesia_vestalis_GAQF01.transdecoder.pep_id_GAQF01002264.1.p1	128	0.00	0.00013	-	VOG00037
Scolopocryptops_sexspinosus_GHBZ01.transdecoder.pep_id_GHBZ01000318.1.p1	780	0.02	0.13	-	VOG00037
Micrurus_fulvius_GAEP01_id_lcl|GAEP01001884.1_prot_JAB52937.1_1	739	0.01	0.0071	-	VOG00037
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01005299.1.p1	378	0.01	0.00034	-	VOG00037
Boiga_irregularis_GBSH01_id_lcl|GBSH01003099.1_prot_JAG65928.1_1	739	0.01	0.0071	-	VOG00037
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01011484.1.p1	116	0.02	0.00032	-	VOG00037
Crotalus_horridus_GAAZ01_id_lcl|GAAZ01002912.1_prot_JAA95031.1_1	739	0.01	0.008	-	VOG00037
Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02002913.1_prot_JAV48554.1_1	739	0.01	0.0081	-	VOG00037
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01006903.1.p1	505	0.03	0.26	-	VOG00037
Dinoponera_quadriceps_GANS01.transdecoder.pep_id_GANS01002328.1.p1	167	0.01	0.0005	-	VOG00037
Cotesia_vestalis_GAQF01.transdecoder.pep_id_GAQF01002298.1.p1	147	0.03	0.00053	-	VOG00037
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01033912.1.p1	212	0.02	0.57	-	VOG19620
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01031026.1.p1	1040	0.02	1.4	-	VOG00037
Aspidelaps_scutatus_GHOC01.transdecoder.pep_id_GHOC01000540.1.p1	243	0.01	0.00065	-	VOG00037
Cotesia_vestalis_GAQF01.transdecoder.pep_id_GAQF01009234.1.p1	274	0.02	0.00082	-	VOG00037
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01065828.1.p1	248	0.01	0.00069	-	VOG00037
Glycera_tridactyla_GART01.transdecoder.pep_id_GART01005636.1.p1	136	0.01	0.0011	-	VOG00037
Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01007094.1.p1	422	0.00	0.0012	-	VOG00037
Naja_pallida_GIJJ01.transdecoder.pep_id_GIJJ01001575.1.p1	109	0.01	0.0013	-	VOG00037
Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01039413.1.p1	258	0.02	0.0012	-	VOG00037
Nasonia_vitripennis_GFPC01.transdecoder.pep_id_GFPC01000301.1.p1	406	0.00	0.0013	-	VOG00037
Trichomalopsis_sarcophagae_GFPB01.transdecoder.pep_id_GFPB01000446.1.p1	406	0.00	0.0013	-	VOG00037
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01004794.1.p1	409	0.00	0.0014	-	VOG00037
Cotesia_vestalis_GAQF01.transdecoder.pep_id_GAQF01022733.1.p1	310	0.01	0.0014	-	VOG00037
Dinoponera_quadriceps_GANS01.transdecoder.pep_id_GANS01005574.1.p1	136	0.01	0.0017	-	VOG00037
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01004823.1.p2	580	0.01	0.0059	-	VOG00037
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01001395.1.p1	406	0.00	0.0016	-	VOG00037
Cotesia_vestalis_GAQF01.transdecoder.pep_id_GAQF01007720.1.p1	406	0.00	0.0016	-	VOG00037
Diadromus_collaris_GAPR01.transdecoder.pep_id_GAPR01025245.1.p1	406	0.00	0.0016	-	VOG00037
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01012628.1.p1	222	0.00	0.0016	-	VOG00037
Vipera_aspis_GIJB01.transdecoder.pep_id_GIJB01000298.1.p1	325	0.01	0.0021	-	VOG00037
Centruroides_hentzi_GFWZ01.transdecoder.pep_id_GFWZ01000299.1.p1	431	0.01	0.0017	-	VOG00037
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01001539.1.p1	405	0.00	0.0017	-	VOG00037
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01004820.1.p2	614	0.01	0.0063	-	VOG00037
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01004822.1.p2	614	0.01	0.0063	-	VOG00037
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01004819.1.p2	618	0.01	0.0064	-	VOG00037
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01004821.1.p2	618	0.01	0.0064	-	VOG00037
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01038159.1.p2	299	0.03	0.0019	-	VOG00037
Glycera_tridactyla_GART01.transdecoder.pep_id_GART01005540.1.p1	138	0.01	0.0019	-	VOG00037
Dispholidus_typus_GHOQ01.transdecoder.pep_id_GHOQ01000276.1.p1	392	0.01	0.0018	-	VOG00037
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01037986.1.p1	435	0.02	0.0018	-	VOG00037
Agkistrodon_contortrix_GJUG01.transdecoder.pep_id_GJUG01000110.1.p1	406	0.01	0.0019	-	VOG00037
Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02001873.1_prot_JAV49559.1_1	406	0.01	0.0019	-	VOG00037
Crotalus_horridus_GAAZ01_id_lcl|GAAZ01001904.1_prot_JAA96039.1_1	406	0.01	0.0019	-	VOG00037
Conophis_lineatus_GJFD01.transdecoder.pep_id_GJFD01001214.1.p1	407	0.01	0.0019	-	VOG00037
Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01015773.1.p1	407	0.01	0.0019	-	VOG00037
Micrurus_fulvius_GAEP01_id_lcl|GAEP01001205.1_prot_JAB53616.1_1	406	0.01	0.0019	-	VOG00037
Boiga_irregularis_GBSH01_id_lcl|GBSH01002099.1_prot_JAG66927.1_1	406	0.01	0.0019	-	VOG00037
Pseudagkistrodon_rudis_GDKV01.transdecoder.pep_id_GDKV01024069.1.p1	408	0.01	0.0019	-	VOG00037
Hadrurus_spadix_GFAH01_id_lcl|GFAH01000457.1_prot_JAV47932.1_1	430	0.00	0.002	-	VOG00037
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01054308.1.p1	414	0.01	0.002	-	VOG00037
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01016640.1.p1	944	0.03	0.74	-	VOG00037
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01006363.1.p1	437	0.01	0.0029	-	VOG00037
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01028715.1.p1	747	0.01	0.013	-	VOG00037
Centruroides_hentzi_GFWZ01.transdecoder.pep_id_GFWZ01000302.1.p1	399	0.01	0.0025	-	VOG00037
Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01041162.1.p1	240	0.01	0.0025	-	VOG00037
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01012354.1.p1	978	0.01	0.013	-	VOG00037
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01019884.1.p1	745	0.01	0.01	-	VOG00037
Diadromus_collaris_GAPR01.transdecoder.pep_id_GAPR01023275.1.p1	379	0.01	0.0027	-	VOG00037
Dendroaspis_jamesoni_jamesoni_GHPA01.transdecoder.pep_id_GHPA01002449.1.p1	131	0.01	0.0026	-	VOG00037
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01012595.1.p1	431	0.01	0.003	-	VOG00037
Cotesia_vestalis_GAQF01.transdecoder.pep_id_GAQF01004602.1.p1	431	0.01	0.003	-	VOG00037
Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01001281.1.p1	433	0.01	0.003	-	VOG00037
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01041071.1.p1	123	0.01	0.0024	-	VOG00037
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01028713.1.p1	788	0.01	0.014	-	VOG00037
Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01035885.1.p1	213	0.00	0.0034	-	VOG00037
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01021284.1.p1	1092	0.02	1.7	-	VOG00037
